ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),PCA1,PCA2,Cluster,Inequality Status
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,1.57319983465114,-1.67777008740064,-1.6075758165907,-1.57524148659905,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-1.5504363866848,-2.06406167069477,0,Low Inequality
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,0.98616179171123,0.209668692566611,0.843837643266599,0.835339020809681,0.877998543011798,0.907618099707089,0.935732659296368,0.902009657763105,0.92510997653843,0.94320499175317,0.948226927455107,0.989576647811502,0.989576647811502,2.99435857066143,-0.417688842413081,1,Medium Inequality
ALB,Albania,Europe,Northern Hemisphere,High,ECA,-0.499778254480425,-0.634699185514099,-0.587549051010222,-1.38025670827698,-1.36228950141904,-1.34293478716512,-1.34722584309486,-1.40982890303528,-1.39037898784309,-1.2200253467592,-1.21358798135439,-1.16345674452883,-1.16345674452883,-4.12652759810826,0.440103689777545,2,High Inequality
AND,Andorra,Europe,Northern Hemisphere,Very High,SSA,-0.995091603210977,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.25004939233654,0.0370541826316204,0,Low Inequality
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,-1.25192074699719,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.25004939233654,0.0370541826316204,0,Low Inequality
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,-0.866677031317871,0.822530144919881,0.67668762717058,0.505412069150018,0.469498942250809,0.563431807010358,0.469248766861107,0.638021848746248,0.521758075490892,0.602643538706412,0.841148967928237,0.882933650066622,0.882933650066622,2.26709454289397,-0.0577605562185095,0,Low Inequality
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,-0.169569355326724,-1.19686276631446,-1.13729298309941,-1.11279210792548,-1.09184406834225,-1.07125019211251,-1.07162927308665,-0.687240835936181,-0.666649950905532,-0.633082026502215,-0.627028705734082,-0.579280133547391,-0.579280133547391,-3.00256960183614,-0.840469231890437,2,High Inequality
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,LAC,-0.426398499112936,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.25004939233654,0.0370541826316204,0,Low Inequality
AUS,Australia,Oceania,Southern Hemisphere,Very High,SSA,-1.63716446267651,-0.721708637739432,-0.672636239204059,-0.655875105627809,-0.629834828973196,-0.661542674225336,-0.656022394034776,-0.729527912101082,-0.709003798555679,-0.676126566905576,-0.670045081535668,-0.622121772367098,-0.622121772367098,-2.3143578848158,-0.0799440673729672,2,High Inequality
AUT,Austria,Europe,Northern Hemisphere,Very High,SSA,-1.27026568583906,-1.41166976474764,-1.1930387385444,-0.947637677589863,-0.924482976555738,-1.08328694327255,-1.15885692640826,-1.05714889986589,-0.880406286913744,-1.19036530617777,-1.18394734772269,-0.922904721046906,-0.922904721046906,-3.70527182532064,-0.303633906255964,2,High Inequality
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,-0.0594997222754905,-0.0459981079053174,-1.86487636666335,-1.82825620676249,-1.81528185340459,-1.79800271828516,-1.80884627804493,-1.87919954617984,-1.86049076936411,-1.81531796017186,-1.80849108707944,-1.75594329211137,-1.75594329211137,-5.82695573629102,0.732224087716301,2,High Inequality
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,1.70161440654425,-1.33619841456949,-1.27355034620157,-1.12765340755269,-1.10687099380634,-1.08634596989345,-1.08694241433129,-1.14517554042613,-0.180874125453763,-0.152028248077531,-0.146289687043735,-0.100493926632371,-0.100493926632371,-2.52561537505409,-1.53139264683267,2,High Inequality
BEL,Belgium,Europe,Northern Hemisphere,Very High,SSA,-1.49040495194153,-1.5176377238386,-1.40106515444984,-1.37217065220875,-1.40479886474796,-1.34071393383834,-1.34497301179527,-1.43762282817889,-1.50820254949866,-1.51997291102783,-1.51333928603651,-1.55769664978105,-1.55769664978105,-5.04091017485766,-0.00254185714843217,2,High Inequality
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,1.31637069086493,0.0938850037789945,0.904064581771813,0.89456276513473,0.937882322627373,1.08910148794493,1.11982921914046,1.09864588179461,1.35606945607956,1.3699752736798,1.3747179680441,1.41433523754098,1.41433523754098,3.80425277364938,-0.99667989703693,1,Medium Inequality
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,1.64657959001863,0.173163775942593,0.202466126401533,0.204650766102906,0.240281409767009,-0.659423170181685,-0.653872371342339,-0.704834625651949,-0.684271521295137,-0.650532304127316,-0.644467565415918,-0.596648154771746,-0.596648154771746,-1.29164100042053,1.24231619462718,0,Low Inequality
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,0.637607953715656,-0.0459981079053174,0.752232983592147,0.745260210925078,0.78691582508102,-0.882326001120865,-0.879984770685643,-0.934743256785681,-0.914543179201203,-0.935405260254325,-0.748463864390017,-0.700222009988772,-0.700222009988772,-1.32434657545947,1.93457628104541,0,Low Inequality
BGR,Bulgaria,Europe,Northern Hemisphere,High,SSA,-0.481433315638553,-1.03209420111711,-0.524339152249449,-0.6485551829061,-0.557223684629758,-0.303116619343256,-0.0921498200320227,-0.0267610814815119,0.23309483334589,-0.0569394588041073,-0.0512631155999851,0.183925619903892,0.183925619903892,-0.745340833756155,-1.23322437349442,0,Low Inequality
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,-1.08681629742034,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.25004939233654,0.0370541826316204,0,Low Inequality
BHS,Bahamas,America,Northern Hemisphere,Very High,LAC,-0.719917520582893,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.25004939233654,0.0370541826316204,0,Low Inequality
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,-0.371363682587319,-0.0459981079053174,-0.807794656553257,-0.329612093547871,-0.299935689113421,-0.27571334432091,-0.264637523981182,-0.309064861560061,-0.287876834948971,-0.257990823832465,-0.25218293010929,-0.205957020357127,-0.205957020357127,-1.02190866277638,-0.210187586479953,0,Low Inequality
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,-0.628192826373531,-1.5049329386116,-1.5875640721197,-1.57328552898772,-1.55746958485743,-1.53136743931953,-1.53837172901177,-1.60418396319842,-1.5850409355286,-1.54254567223474,-1.70018379315176,-1.64807595364958,-1.64807595364958,-5.49013593563953,-0.0308873863125454,2,High Inequality
BLZ,Belize,America,Northern Hemisphere,Medium,LAC,0.527538320664423,-0.0459981079053174,2.05495591747886,2.02628381726704,2.08221615096883,2.11735334814858,2.16288683424675,2.15921553290253,2.18430098546236,2.19015587087094,2.19436191041938,2.2306497011762,2.2306497011762,6.86533375101834,-1.14542624273164,1,Medium Inequality
